,0
2021-06-28,335622.86
2021-06-26,335622.86
2021-06-25,343452.67
2021-06-24,342488.86
2021-06-23,345169.98
2021-06-22,344270.34
2021-06-21,344072.71
2021-06-18,343737.72
2021-06-17,344958.39
2021-06-16,345283.52
2021-06-15,345107.38
2021-06-14,345107.38
2021-06-11,345062.28
2021-06-10,377816.0
2021-06-09,545283.81
2021-06-08,377317.09
2021-06-07,372262.44
2021-06-04,373518.65
2021-06-03,405949.29
2021-06-02,373147.7
2021-06-01,377201.73
2021-05-31,382461.63
2021-05-28,383675.36
2021-05-27,537528.83
2021-05-26,543323.66
2021-05-25,498909.26
2021-05-24,671384.11
2021-05-21,687232.06
2021-05-20,858841.58
2021-05-19,746734.83
2021-05-18,721979.03
2021-05-17,432127.69
2021-05-14,542181.55
2021-05-13,543837.55
2021-05-12,545495.7
2021-05-11,546302.21
2021-05-10,546302.21
2021-05-07,567223.71
2021-05-06,552372.31
2021-05-05,555037.51
2021-05-04,555068.34
2021-04-30,558953.0
2021-04-29,559501.58
2021-04-28,582259.32
2021-04-27,609791.26
2021-04-26,621474.82
2021-04-23,611138.79
2021-04-22,610897.27
2021-04-21,610612.19
2021-04-20,611508.07
2021-04-19,630209.71
2021-04-16,610273.29
2021-04-15,609828.2
2021-04-14,609481.92
2021-04-13,609285.6
2021-04-12,609367.04
2021-04-09,609046.31
2021-04-08,609327.63
2021-04-07,867413.52
2021-04-06,610888.62
2021-04-05,622964.49
2021-04-02,772727.74
2021-04-01,852958.87
2021-03-31,861853.24
2021-03-30,958253.56
2021-03-29,753655.67
2021-03-26,797934.39
2021-03-25,621963.1
2021-03-24,626363.15
2021-03-23,711307.14
2021-03-22,611436.94
2021-03-19,611436.2
2021-03-18,611525.92
2021-03-17,611510.3
2021-03-16,610746.46
2021-03-15,610723.91
2021-03-12,622300.73
2021-03-11,612555.07
2021-03-10,634612.72
2021-03-09,612564.71
2021-03-05,612850.11
2021-03-04,613086.89
2021-03-03,613172.73
2021-03-02,613280.44
2021-03-01,613119.43
2021-02-26,614119.01
2021-02-25,615150.94
2021-02-24,614323.85
2021-02-22,614323.85
2021-02-20,614971.72
2021-02-19,615106.65
2021-02-18,618594.14
2021-02-17,618585.51
2021-02-16,618676.08
2021-02-15,618430.71
2021-02-12,618916.16
2021-02-11,618194.29
2021-02-10,617857.03
2021-02-09,617773.89
2021-02-08,617764.96
2021-02-05,617917.29
2021-02-04,616776.54
2021-02-03,616587.54
2021-02-02,736427.16
2021-02-01,816518.31
2021-01-29,967670.81
2021-01-28,767607.65
2021-01-27,967357.69
2021-01-26,767441.84
2021-01-25,617738.45
2021-01-24,617738.45
2021-01-22,617757.19
2021-01-21,618756.11
2021-01-20,768727.28
2021-01-19,768946.86
2021-01-18,618567.25
2021-01-15,619096.27
2021-01-14,619219.57
2021-01-13,769270.47
2021-01-12,1120376.62
2021-01-11,621101.59
2021-01-08,621101.59
2021-01-06,621101.59
2021-01-05,621101.59
2021-01-04,621101.59
2020-12-31,956116.67
2020-12-30,656025.45
2020-12-29,653698.77
2020-12-28,681163.56
2020-12-27,681163.56
2020-12-25,691064.8
2020-12-24,652510.34
2020-12-23,652059.09
2020-12-22,644974.72
2020-12-21,646031.61
2020-12-18,646798.58
2020-12-17,646732.92
2020-12-16,646096.44
2020-12-15,645477.88
2020-12-14,645696.35
2020-12-11,645954.99
2020-12-10,670026.86
2020-12-09,818322.25
2020-12-08,670886.18
2020-12-07,671193.93
2020-12-04,671352.47
2020-12-03,674813.61
2020-12-02,670123.29
2020-12-01,672400.27
2020-11-30,661879.95
2020-11-27,625674.73
2020-11-26,625731.95
2020-11-25,626583.38
2020-11-24,626618.76
2020-11-23,626284.81
2020-11-20,626579.0
2020-11-19,626305.03
2020-11-18,624698.99
2020-11-17,624699.04
2020-11-16,624823.6
2020-11-13,624606.76
2020-11-12,624413.81
2020-11-11,704542.46
2020-11-10,624524.25
2020-11-09,625057.93
2020-11-06,625353.93
2020-11-05,624521.33
2020-11-03,624832.47
2020-11-02,623203.24
2020-11-01,623203.24
2020-10-30,621853.31
2020-10-29,621777.52
2020-10-28,621351.74
2020-10-27,619171.05
2020-10-26,619280.89
2020-10-23,618839.05
2020-10-22,618925.14
2020-10-21,618817.77
2020-10-20,616437.44
2020-10-19,613166.89
2020-10-16,613253.33
2020-10-15,612432.99
2020-10-14,632350.64
2020-10-13,612337.32
2020-10-12,613034.31
2020-10-09,611371.25
2020-10-08,611281.92
2020-10-07,611632.96
2020-10-06,610314.34
2020-10-05,610617.95
2020-10-02,609182.99
2020-10-01,609261.77
2020-09-30,607801.79
2020-09-29,607809.14
2020-09-28,605702.0
2020-09-25,606267.91
2020-09-24,606212.72
2020-09-23,605934.73
2020-09-22,604391.05
2020-09-21,604209.95
2020-09-18,604954.72
2020-09-17,604927.9
2020-09-16,603717.64
2020-09-15,601831.82
2020-09-14,587276.74
2020-09-11,582748.56
2020-09-10,580709.24
2020-09-09,580941.39
2020-09-08,580169.43
2020-09-07,580057.48
2020-09-04,581706.78
2020-09-03,580919.82
2020-09-02,580981.57
2020-09-01,581164.89
2020-08-31,581444.25
2020-08-28,582631.04
2020-08-27,582495.66
2020-08-26,620218.41
2020-08-25,580092.83
2020-08-24,579726.29
2020-08-21,579493.43
2020-08-20,579325.54
2020-08-19,578493.69
2020-08-18,577633.36
2020-08-17,575048.29
2020-08-14,580193.73
2020-08-13,579363.45
2020-08-12,578997.62
2020-08-11,561732.77
2020-08-10,561093.11
2020-08-07,560000.4
2020-08-06,566013.06
2020-08-05,566259.81
2020-08-04,566235.57
2020-08-03,565936.27
2020-07-31,565779.14
2020-07-30,564633.2
2020-07-29,553660.42
2020-07-28,553267.36
2020-07-27,553865.47
2020-07-24,554472.43
2020-07-23,543054.1
2020-07-22,534122.48
2020-07-21,533911.14
2020-07-20,533521.62
2020-07-17,532750.96
2020-07-16,532810.21
2020-07-15,532225.75
2020-07-14,514823.82
2020-07-13,514666.24
2020-07-10,515690.78
2020-07-09,514760.61
2020-07-08,481439.41
2020-07-07,484349.64
2020-07-06,481439.86
2020-07-03,477140.53
2020-07-02,476852.45
2020-07-01,476852.45
2020-06-30,544083.73
2020-06-29,544330.35
2020-06-27,544330.35
2020-06-26,544049.93
2020-06-25,535787.73
2020-06-23,531509.93
2020-06-22,531126.17
2020-06-20,531126.17
2020-06-19,531534.89
2020-06-18,531438.81
2020-06-17,530815.09
2020-06-16,525899.34
2020-06-15,525850.51
2020-06-12,525850.51
2020-06-11,524952.61
2020-06-10,428703.69
2020-06-09,428561.38
2020-06-08,431078.46
2020-06-06,431078.46
2020-06-05,431251.11
2020-06-04,429691.75
2020-06-03,429683.68
2020-06-02,429046.77
2020-06-01,425011.2
2020-05-30,425011.2
2020-05-29,420296.26
2020-05-28,432376.89
2020-05-27,420239.54
2020-05-26,420719.77
2020-05-25,420638.85
2020-05-22,413247.98
2020-05-21,397605.54
2020-05-20,395791.52
2020-05-19,387720.18
2020-05-18,387689.01
2020-05-17,387689.01
2020-05-16,387689.01
2020-05-15,387339.79
2020-05-14,262370.89
2020-05-13,261607.79
2020-05-12,261602.74
2020-05-10,261602.74
2020-05-08,261807.47
2020-05-07,255274.46
2020-05-06,255649.06
2020-05-05,255649.06
2020-05-04,255649.06
2020-04-30,251675.3
2020-04-29,250863.9
2020-04-28,242972.18
2020-04-27,200183.46
2020-04-25,200183.46
2020-04-24,199939.93
2020-04-23,199915.66
2020-04-22,240350.49
2020-04-21,200398.36
2020-04-20,200390.95
2020-04-18,200390.95
2020-04-17,200472.11
2020-04-16,194078.69
2020-04-15,194232.66
2020-04-14,194358.8
2020-04-13,194602.3
2020-04-12,194924.53
2020-04-11,194924.53
2020-04-10,194924.53
2020-04-09,288016.04
2020-04-08,195150.22
2020-04-07,199218.8
2020-04-06,229940.75
2020-04-03,206475.29
2020-04-02,200141.24
2020-04-01,200131.84
2020-03-31,255456.18
2020-03-30,216467.17
2020-03-27,404113.26
2020-03-26,251276.37
2020-03-25,291303.93
2020-03-24,339293.61
2020-03-23,269336.02
2020-03-20,199439.87
2020-03-19,199459.25
2020-03-18,199526.83
2020-03-17,201476.82
2020-03-16,201146.7
2020-03-13,201556.22
2020-03-12,201819.41
2020-03-11,206867.96
2020-03-10,201966.57
2020-03-06,201427.25
2020-03-05,201896.89
2020-03-04,201935.57
2020-03-03,201972.89
